Akamai_ID,Category_ID
LS-porn,11
LS-sex_ed,19
LS-lingerie,43
LS-nudity,62
LS-offensive,54
LS-gambling,27
LS-hate,46
LS-violence,48
LS-weapons,36
LS-hacking,33
LS-tpsvc_phishing,57
LS-entertain,21
LS-business,4
LS-cults,8
LS-alc_tob,76
LS-drugs,10
LS-child_abuse,503
LS-edu,40
LS-nonprof,527
LS-money,3
LS-games,34
LS-gov,61
LS-politics,35
LS-health,69
LS-tech,5
LS-search,50
LS-tpsvc_malware,56
LS-tpsvc_botnet,67
LS-jobs,26
LS-news,63
LS-personals,18
LS-chat,66
LS-webmail,55
LS-forums,520
LS-religion,20
LS-community,14
LS-commerce,7
LS-realty,1
LS-food,24
LS-recreation,80
LS-sports,42
LS-travel,9
LS-software,30
LS-p2p,31
LS-stream,25
LS-anon,58
LS-ads,52
LS-translate,28
LS-parked,75
LS-tpsvc_spam,71
LS-cheating,53
LS-self_harm,500
LS-community,14
LS-crime,505
LS-data_prot,506
LS-errors,507
LS-fashion,508
LS-tpsvc_unidentified,510
LS-cdns,65
LS-dotdoh,543
LS-greet,544
LS-homepage,545
LS-images,546
LS-vehicles,547